1A1,1A1.Identifies the health status of populations and their related determinants of health and illness,1,1,137,,KP,P,P,1.02
1A2,1A2. Describes the characteristics of a population-based problem,1,1,138,,AK,P,P,1.03
1A3,1A3. Uses variables that measure public health conditions,1,1,139,,AK,P,P,1.04
1A4,1A4. Identifies relevant and appropriate data and information sources.,1,1,140,,K,P,P,1.05
1A4,1A4. Uses methods and instruments for collecting valid and reliable quantitative and qualitative data,1,1,141,,A,P,P,1.06
1A5,1A5. Identifies sources of public health data and information,1,1,142,,KP,P,P,
1A6,1A6. Recognizes the integrity and comparability of data,1,1,143,,AK,P,P,
1A7,1A7. Identifies gaps in data sources,1,1,144,,AK,P,P,
1A8,"1A8. Adheres to ethical principles in the collection, maintenance, use, and dissemination of data and information",1,1,145,,AK,P,P,
1A9,1A9. Describes the public health applications of quantitative and qualitative data,1,1,146,,AK,KP,KP,
1A10,1A10. Collects quantitative and qualitative community data,1,1,147,,A,KP,P,
1A11,"1A11. Uses information technology to collect, store, and retrieve data",1,1,148,,K,P,P,
1A12,"1A12. Describes how data are used to address scientific, political, ethical, and social public health issues",1,1,149,,A,KP,P,
2A1,2A1. Gathers information relevant to specific public health policy issues,2,1,150,,A,KP,P,
2A2,2A2. Describes how policy options can influence public health programs,2,1,151,,A,K,P,
2A3,2A3. Explains the expected outcomes of policy options,2,1,152,,A,K,P,
2A4,2A4. Gathers information that will inform policy decisions,2,1,153,,A,KP,P,
2A5,2A5.Describes the public health laws and regulations governing public health programs,2,1,154,,A,KP,P,
2A6,2A6.Participates in program planning processes,2,1,155,,A,KP,P,
2A7,2A7.Incorporates policies and procedures into program plans and structures,2,1,156,,A,KP,P,
2A8,2A8.Identifies mechanisms to monitor and evaluate programs for their effectiveness and quality,2,1,157,,AK,KP,KP,
2A9,2A9.Demonstrates the use of public health informatics practices and procedures,2,1,158,,AK,P,P,
2A10,2A10.Applies strategies for continuous quality improvement,2,1,159,,P,P,P,
3A1,3A1.Identifies the health literacy of populations served,3,1,160,,KP,P,P,
3A2,"3A2.Communicates in writing and orally, in person, and through electronic means, with linguistic and cultural proficiency",3,1,161,,K,P,P,
3A3,3A3.Solicits community-based input from individuals and organizations,3,1,162,,K,P,P,
3A4,3A4.Conveys public health information using a variety of approaches,3,1,163,,AK,P,P,
3A5,"3A5.Participates in the development of demographic, statistical, programmatic and scientific presentations",3,1,164,,K,P,P,
3A6,3A6.Applies communication and group dynamic strategies in interactions with individuals and groups,3,1,165,,P,P,P,
4A1,4A1.Incorporates strategies for interacting with persons from diverse backgrounds,4,1,166,,P,P,P,
4A2,"4A2.Identifies the role of cultural, social, and behavioral factors in determining the delivery of public health services.",4,1,167,,K,P,P,
4A3,4A3.Responds to diverse needs that are the result of cultural differences,4,1,168,,K,P,P,
4A4,4A4.Describes the dynamic forces that contribute to cultural diversity,4,1,169,,K,P,P,
4A5,4A5.Describes the need for a diverse public health workforce,4,1,170,,A,K,P,
4A6,4A6.Participates in the assessment of the cultural competence of the public health organization,4,1,171,,A,P,P,
5A1,5A1.Recognizes community linkages and relationships among multiple factors (or determinants) affecting health,5,1,172,,K,P,P,
5A2,5A2.Demonstrates the capacity to work in community-based participatory research efforts,5,1,173,,K,P,P,
